CustomerID,Name,Age,Gender,Email,SocialMediaPresence,OnlineBehaviorScore,TransactionAmount,EconomicIndicator,Date
da5be352-74bf-4f30-a02c-7b45c75f3224,Sarah Tapia,58,Female,nadkins@example.net,0,5.453989479489402,4251.77534796069,0.5858083886285599,2024-01-19
02cafdb3-f415-483e-96a1-ad7c94f1339e,Oscar Madden,25,Male,jcarey@example.net,1,2.0146929634342765,4060.69341870081,-0.6541950182873548,2024-01-18
fc813514-1730-422a-b800-2acfa98cdfd1,Jessica Turner,19,Female,gregory10@example.net,0,5.4962428714539175,2661.376932425091,0.6514104887697709,2024-01-17
582bad10-6a5b-41d0-bd70-fe15ae44e2ba,Jose Norton,65,Female,rickeyluna@example.com,1,6.345367913239508,223.8334921469132,0.37919020209979837,2024-01-16
1b212c0e-2061-4a5b-b278-8ec0c8ddc7d4,Jenna Carter,35,Female,thomas95@example.net,1,5.754578508425658,812.1008870006981,0.15246492355339614,2024-01-15
7b201b0a-8552-442e-a6a2-086e70e677f4,Thomas Lane Jr.,33,Female,davismatthew@example.com,1,9.79927253059002,3384.245475958015,0.8153112842941888,2024-01-14
4c12d7a3-ac36-48f8-ab30-40b50cf3e3c4,Katie Cunningham,32,Female,johnfarmer@example.net,1,9.881942795588701,1079.5218445971122,0.19046240511916013,2024-01-13
e633c7b0-f7c4-4c8d-aa16-2f2fd185b0e0,Shelly Flores,26,Female,stevenssandra@example.org,0,9.405319615067942,3775.906591483263,-0.3992134923134507,2024-01-12
699d834b-203e-4274-9fd3-dda64ec5871a,Steven Keller,65,Female,gregory33@example.net,1,2.1878459265943184,888.5834322818271,0.4615787239125544,2024-01-11
a17db643-5032-4375-a07b-ae5fadb34397,Benjamin Hill,24,Female,hannah94@example.com,1,8.747326035430728,1504.4161859796388,0.15256739231267735,2024-01-10
884dd411-41fb-4703-8320-f330407ea1a4,Sandra Strickland,61,Female,russellangela@example.net,1,6.115423498956648,1327.7489365450967,-0.8430452081542923,2024-01-09
82d746cb-0d36-42cd-8574-f46219d11097,Courtney Anderson,65,Female,williammiller@example.org,0,4.288712165632888,4212.970890879339,-0.8881545823533612,2024-01-08
e326b8f0-4d5b-457a-83d6-3f6360ed00e5,Sandra Keller,52,Female,marybarajas@example.com,0,7.146478441021835,3483.914766783649,0.5418030073402769,2024-01-07
9206267c-5b1e-45e2-9a3b-70949d5171fa,Anthony Chapman,23,Male,salinasdaniel@example.org,0,7.864533441060272,1546.1887732118694,-0.3041395860941336,2024-01-06
b2013d96-3355-4b99-83fc-644b4a2d2c20,Lisa Herman,55,Male,samantha80@example.com,1,9.590076855467977,3792.6103454213085,0.6342834000930844,2024-01-05
ad088e57-5090-4fab-ba08-04f70c58430d,Brittany Nguyen,45,Male,burkealexis@example.net,1,7.933303443021525,258.30127788740305,-0.16695657476416126,2024-01-04
86eb2dce-0843-44fe-ac40-25542f87cb13,Scott Wells,20,Female,paynekaren@example.net,1,1.1502046159377057,4088.7284660168966,0.7356621939024406,2024-01-03
698c54a4-c4ea-4734-80aa-b929b120cc18,Michael Bradshaw,19,Male,michaelmoreno@example.org,1,1.6077931234549045,602.1520310560854,0.7395730282424398,2024-01-02
17abaedc-bae8-4b65-a606-49e7af21fd1b,Traci Berg,23,Male,andrea65@example.com,0,3.359667494458604,4353.37333090661,-0.5465646572756968,2024-01-01
362c4759-1f73-4800-ad8b-60d2c09efc8a,Barbara Bowman,31,Male,jonesjuan@example.net,1,1.3584417574347079,3723.5131528469647,0.30555836632070177,2023-12-31
140adffd-1176-4c05-a379-f2b6f88f1d3e,Phillip Norman,32,Male,brittneylucas@example.net,0,1.5442197362938512,4337.723277502552,0.20460326863308498,2023-12-30
eb460fca-e52e-493d-bd00-2a7772503961,Destiny Stanley,50,Female,kimberly10@example.com,1,8.103609990937823,3737.8224057770162,-0.977131238074793,2023-12-29
1def9b34-c83b-48b1-87d8-1cb889d5ae90,Melissa Allen,56,Female,rhonda53@example.net,1,5.559495438474343,2850.225708674972,0.5548372362880947,2023-12-28
308aaf84-2a55-4855-af0f-b119524938f8,Mark Richards,19,Female,timothy01@example.net,1,6.657136264545184,1264.217815574402,-0.23502607562947353,2023-12-27
a2ee0593-7bfa-4a2c-bf39-bf0fcc74cb91,Timothy Harrison,53,Male,stacey16@example.org,1,5.509440689563676,3943.105147067344,-0.39043321424151434,2023-12-26
8d6717c4-9dd4-44e6-99ee-0e7eb079d021,Darren Curry,30,Male,gabriellehodge@example.net,0,4.738887949378617,4014.2265871988952,-0.9176354956728736,2023-12-25
c4bad457-def8-4f90-9421-35b581b3a7c4,Matthew White,63,Female,joel45@example.com,1,7.3162957476116475,1509.4294070853794,0.07985945887733825,2023-12-24
981d870b-782f-4cf0-af5f-2271b025c369,Isabel Spencer,59,Male,john28@example.net,0,1.7418503073218128,3356.0184860989552,-0.7008399616653975,2023-12-23
8574636a-0617-45d9-809e-7de18e6dea20,Tyler Potter,62,Female,mileschristine@example.org,1,5.829083344630138,4639.77557472702,0.004803220894465499,2023-12-22
5569caf0-c554-4b3a-a366-f8c81b267c43,Jason Powell,52,Male,markmullen@example.org,0,6.544423501000732,1999.0177783457525,-0.5584056503594297,2023-12-21
c89d9699-bd4e-4085-810c-5290d6df0296,Gary Mcconnell,44,Female,huffmanmiguel@example.org,1,3.4972096216110407,4787.839653057951,-0.898960371708345,2023-12-20
f7148feb-a475-4e27-8a10-79553a446a6c,Edwin Hart,32,Male,christophermorrison@example.org,0,3.7891619705497774,4881.5313380750185,0.46315714712988276,2023-12-19
9612861a-0c27-4fb7-8c88-e0198b95b072,Justin Russell,46,Male,nielsenkatherine@example.com,1,5.601742284657983,1632.0045063837074,-0.21423459096192965,2023-12-18
9153d585-0f62-4bc3-80e5-377668f25334,Michael Santos,55,Female,whiteelizabeth@example.net,1,2.8287774456204504,2805.4105279120113,-0.10876752804457857,2023-12-17
4aa3c163-4070-4663-980f-51b3fd7ae748,Shelby Woods,35,Male,vlittle@example.org,0,8.27254072873588,163.5296646057277,0.1902643825896806,2023-12-16
1beec309-cbed-4d91-bf07-b0a94f22aeca,Eric Lynn,69,Male,ichapman@example.com,0,5.827511556005125,1331.571529024298,0.009458692224069587,2023-12-15
afd3d496-ce08-4c2b-bd47-5d92402c538f,Dominique Miller,18,Female,melissablack@example.com,0,4.516583526715147,3140.7523084980603,-0.5558287436971714,2023-12-14
